REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
Region,BACKSTOP,DDE2,2048,0.1
Region,BACKSTOP,DDE2,2049,0.1
Region,BACKSTOP,DDE2,2050,0.1
Region,BACKSTOP,DDE2,2051,0.1
Region,BACKSTOP,DDE2,2052,0.1
Region,BACKSTOP,DDE2,2053,0.1
Region,BACKSTOP,DDE2,2054,0.1
Region,BACKSTOP,DDE2,2055,0.1
Region,BACKSTOP,DDE2,2056,0.1
Region,BACKSTOP,DDE2,2057,0.1
Region,BACKSTOP,DDE2,2058,0.1
Region,BACKSTOP,DDE2,2059,0.1
Region,BACKSTOP,DDE2,2060,0.1
Region,BACKSTOP,DDE2,2061,0.1
Region,BACKSTOP,DDE2,2062,0.1
Region,BACKSTOP,DDE2,2063,0.1
Region,BACKSTOP,DDE2,2064,0.1
Region,BACKSTOP,DDE2,2065,0.1
Region,BACKSTOP,DND1,2015,0.1
Region,BACKSTOP,DND1,2016,0.1
Region,BACKSTOP,DND1,2017,0.1
Region,BACKSTOP,DND1,2018,0.1
Region,BACKSTOP,DND1,2019,0.1
Region,BACKSTOP,DND1,2020,0.1
Region,BACKSTOP,DND1,2021,0.1
Region,BACKSTOP,DND1,2022,0.1
Region,BACKSTOP,DND1,2023,0.1
Region,BACKSTOP,DND1,2024,0.1
Region,BACKSTOP,DND1,2025,0.1
Region,BACKSTOP,DND1,2026,0.1
Region,BACKSTOP,DND1,2027,0.1
Region,BACKSTOP,DND1,2028,0.1
Region,BACKSTOP,DND1,2029,0.1
Region,BACKSTOP,DND1,2030,0.1
Region,BACKSTOP,DND1,2031,0.1
Region,BACKSTOP,DND1,2032,0.1
Region,BACKSTOP,DND1,2033,0.1
Region,BACKSTOP,DND1,2034,0.1
Region,BACKSTOP,DND1,2035,0.1
Region,BACKSTOP,DND1,2036,0.1
Region,BACKSTOP,DND1,2037,0.1
Region,BACKSTOP,DND1,2038,0.1
Region,BACKSTOP,DND1,2039,0.1
Region,BACKSTOP,DND1,2040,0.1
Region,BACKSTOP,DND1,2041,0.1
Region,BACKSTOP,DND1,2042,0.1
Region,BACKSTOP,DND1,2043,0.1
Region,BACKSTOP,DND1,2044,0.1
Region,BACKSTOP,DND1,2045,0.1
Region,BACKSTOP,DND1,2046,0.1
Region,BACKSTOP,DND1,2047,0.1
Region,BACKSTOP,DND1,2048,0.1
Region,BACKSTOP,DND1,2049,0.1
Region,BACKSTOP,DND1,2050,0.1
Region,BACKSTOP,DND1,2051,0.1
Region,BACKSTOP,DND1,2052,0.1
Region,BACKSTOP,DND1,2053,0.1
Region,BACKSTOP,DND1,2054,0.1
Region,BACKSTOP,DND1,2055,0.1
Region,BACKSTOP,DND1,2056,0.1
Region,BACKSTOP,DND1,2057,0.1
Region,BACKSTOP,DND1,2058,0.1
Region,BACKSTOP,DND1,2059,0.1
Region,BACKSTOP,DND1,2060,0.1
Region,BACKSTOP,DND1,2061,0.1
Region,BACKSTOP,DND1,2062,0.1
Region,BACKSTOP,DND1,2063,0.1
Region,BACKSTOP,DND1,2064,0.1
Region,BACKSTOP,DND1,2065,0.1
Region,BACKSTOP,DND2,2015,0.1
Region,BACKSTOP,DND2,2016,0.1
Region,BACKSTOP,DND2,2017,0.1
Region,BACKSTOP,DND2,2018,0.1
Region,BACKSTOP,DND2,2019,0.1
Region,BACKSTOP,DND2,2020,0.1
Region,BACKSTOP,DND2,2021,0.1
Region,BACKSTOP,DND2,2022,0.1
Region,BACKSTOP,DND2,2023,0.1
Region,BACKSTOP,DND2,2024,0.1
Region,BACKSTOP,DND2,2025,0.1
Region,BACKSTOP,DND2,2026,0.1
Region,BACKSTOP,DND2,2027,0.1
Region,BACKSTOP,DND2,2028,0.1
Region,BACKSTOP,DND2,2029,0.1
Region,BACKSTOP,DND2,2030,0.1
Region,BACKSTOP,DND2,2031,0.1
Region,BACKSTOP,DND2,2032,0.1
Region,BACKSTOP,DND2,2033,0.1
Region,BACKSTOP,DND2,2034,0.1
Region,BACKSTOP,DND2,2035,0.1
Region,BACKSTOP,DND2,2036,0.1
Region,BACKSTOP,DND2,2037,0.1
Region,BACKSTOP,DND2,2038,0.1
Region,BACKSTOP,DND2,2039,0.1
Region,BACKSTOP,DND2,2040,0.1
Region,BACKSTOP,DND2,2041,0.1
Region,BACKSTOP,DND2,2042,0.1
Region,BACKSTOP,DND2,2043,0.1
Region,BACKSTOP,DND2,2044,0.1
Region,BACKSTOP,DND2,2045,0.1
Region,BACKSTOP,DND2,2046,0.1
Region,BACKSTOP,DND2,2047,0.1
Region,BACKSTOP,DND2,2048,0.1
Region,BACKSTOP,DND2,2049,0.1
Region,BACKSTOP,DND2,2050,0.1
Region,BACKSTOP,DND2,2051,0.1
Region,BACKSTOP,DND2,2052,0.1
Region,BACKSTOP,DND2,2053,0.1
Region,BACKSTOP,DND2,2054,0.1
Region,BACKSTOP,DND2,2055,0.1
Region,BACKSTOP,DND2,2056,0.1
Region,BACKSTOP,DND2,2057,0.1
Region,BACKSTOP,DND2,2058,0.1
Region,BACKSTOP,DND2,2059,0.1
Region,BACKSTOP,DND2,2060,0.1
Region,BACKSTOP,DND2,2061,0.1
Region,BACKSTOP,DND2,2062,0.1
Region,BACKSTOP,DND2,2063,0.1
Region,BACKSTOP,DND2,2064,0.1
Region,BACKSTOP,DND2,2065,0.1
Region,BACKSTOP,DNE1,2015,0.1
Region,BACKSTOP,DNE1,2016,0.1
Region,BACKSTOP,DNE1,2017,0.1
Region,BACKSTOP,DNE1,2018,0.1
Region,BACKSTOP,DNE1,2019,0.1
Region,BACKSTOP,DNE1,2020,0.1
Region,BACKSTOP,DNE1,2021,0.1
Region,BACKSTOP,DNE1,2022,0.1
Region,BACKSTOP,DNE1,2023,0.1
Region,BACKSTOP,DNE1,2024,0.1
Region,BACKSTOP,DNE1,2025,0.1
Region,BACKSTOP,DNE1,2026,0.1
Region,BACKSTOP,DNE1,2027,0.1
Region,BACKSTOP,DNE1,2028,0.1
Region,BACKSTOP,DNE1,2029,0.1
Region,BACKSTOP,DNE1,2030,0.1
Region,BACKSTOP,DNE1,2031,0.1
Region,BACKSTOP,DNE1,2032,0.1
Region,BACKSTOP,DNE1,2033,0.1
Region,BACKSTOP,DNE1,2034,0.1
Region,BACKSTOP,DNE1,2035,0.1
Region,BACKSTOP,DNE1,2036,0.1
Region,BACKSTOP,DNE1,2037,0.1
Region,BACKSTOP,DNE1,2038,0.1
Region,BACKSTOP,DNE1,2039,0.1
Region,BACKSTOP,DNE1,2040,0.1
Region,BACKSTOP,DNE1,2041,0.1
Region,BACKSTOP,DNE1,2042,0.1
Region,BACKSTOP,DNE1,2043,0.1
Region,BACKSTOP,DNE1,2044,0.1
Region,BACKSTOP,DNE1,2045,0.1
Region,BACKSTOP,DNE1,2046,0.1
Region,BACKSTOP,DNE1,2047,0.1
Region,BACKSTOP,DNE1,2048,0.1
Region,BACKSTOP,DNE1,2049,0.1
Region,BACKSTOP,DNE1,2050,0.1
Region,BACKSTOP,DNE1,2051,0.1
Region,BACKSTOP,DNE1,2052,0.1
Region,BACKSTOP,DNE1,2053,0.1
Region,BACKSTOP,DNE1,2054,0.1
Region,BACKSTOP,DNE1,2055,0.1
Region,BACKSTOP,DNE1,2056,0.1
Region,BACKSTOP,DNE1,2057,0.1
Region,BACKSTOP,DNE1,2058,0.1
Region,BACKSTOP,DNE1,2059,0.1
Region,BACKSTOP,DNE1,2060,0.1
Region,BACKSTOP,DNE1,2061,0.1
Region,BACKSTOP,DNE1,2062,0.1
Region,BACKSTOP,DNE1,2063,0.1
Region,BACKSTOP,DNE1,2064,0.1
Region,BACKSTOP,DNE1,2065,0.1
Region,BACKSTOP,DNE2,2015,0.1
Region,BACKSTOP,DNE2,2016,0.1
Region,BACKSTOP,DNE2,2017,0.1
Region,BACKSTOP,DNE2,2018,0.1
Region,BACKSTOP,DNE2,2019,0.1
Region,BACKSTOP,DNE2,2020,0.1
Region,BACKSTOP,DNE2,2021,0.1
Region,BACKSTOP,DNE2,2022,0.1
Region,BACKSTOP,DNE2,2023,0.1
Region,BACKSTOP,DNE2,2024,0.1
Region,BACKSTOP,DNE2,2025,0.1
Region,BACKSTOP,DNE2,2026,0.1
Region,BACKSTOP,DNE2,2027,0.1
Region,BACKSTOP,DNE2,2028,0.1
Region,BACKSTOP,DNE2,2029,0.1
Region,BACKSTOP,DNE2,2030,0.1
Region,BACKSTOP,DNE2,2031,0.1
Region,BACKSTOP,DNE2,2032,0.1
Region,BACKSTOP,DNE2,2033,0.1
Region,BACKSTOP,DNE2,2034,0.1
Region,BACKSTOP,DNE2,2035,0.1
Region,BACKSTOP,DNE2,2036,0.1
Region,BACKSTOP,DNE2,2037,0.1
Region,BACKSTOP,DNE2,2038,0.1
Region,BACKSTOP,DNE2,2039,0.1
Region,BACKSTOP,DNE2,2040,0.1
Region,BACKSTOP,DNE2,2041,0.1
Region,BACKSTOP,DNE2,2042,0.1
Region,BACKSTOP,DNE2,2043,0.1
Region,BACKSTOP,DNE2,2044,0.1
Region,BACKSTOP,DNE2,2045,0.1
Region,BACKSTOP,DNE2,2046,0.1
Region,BACKSTOP,DNE2,2047,0.1
Region,BACKSTOP,DNE2,2048,0.1
Region,BACKSTOP,DNE2,2049,0.1
Region,BACKSTOP,DNE2,2050,0.1
Region,BACKSTOP,DNE2,2051,0.1
Region,BACKSTOP,DNE2,2052,0.1
Region,BACKSTOP,DNE2,2053,0.1
Region,BACKSTOP,DNE2,2054,0.1
Region,BACKSTOP,DNE2,2055,0.1
Region,BACKSTOP,DNE2,2056,0.1
Region,BACKSTOP,DNE2,2057,0.1
Region,BACKSTOP,DNE2,2058,0.1
Region,BACKSTOP,DNE2,2059,0.1
Region,BACKSTOP,DNE2,2060,0.1
Region,BACKSTOP,DNE2,2061,0.1
Region,BACKSTOP,DNE2,2062,0.1
Region,BACKSTOP,DNE2,2063,0.1
Region,BACKSTOP,DNE2,2064,0.1
Region,BACKSTOP,DNE2,2065,0.1
Region,BACKSTOP,WDD1,2015,0.1
Region,BACKSTOP,WDD1,2016,0.1
Region,BACKSTOP,WDD1,2017,0.1
Region,BACKSTOP,WDD1,2018,0.1
Region,BACKSTOP,WDD1,2019,0.1
Region,BACKSTOP,WDD1,2020,0.1
Region,BACKSTOP,WDD1,2021,0.1
Region,BACKSTOP,WDD1,2022,0.1
Region,BACKSTOP,WDD1,2023,0.1
Region,BACKSTOP,WDD1,2024,0.1
Region,BACKSTOP,WDD1,2025,0.1
Region,BACKSTOP,WDD1,2026,0.1
Region,BACKSTOP,WDD1,2027,0.1
Region,BACKSTOP,WDD1,2028,0.1
Region,BACKSTOP,WDD1,2029,0.1
Region,BACKSTOP,WDD1,2030,0.1
Region,BACKSTOP,WDD1,2031,0.1
Region,BACKSTOP,WDD1,2032,0.1
Region,BACKSTOP,WDD1,2033,0.1
Region,BACKSTOP,WDD1,2034,0.1
Region,BACKSTOP,WDD1,2035,0.1
Region,BACKSTOP,WDD1,2036,0.1
Region,BACKSTOP,WDD1,2037,0.1
Region,BACKSTOP,WDD1,2038,0.1
Region,BACKSTOP,WDD1,2039,0.1
Region,BACKSTOP,WDD1,2040,0.1
Region,BACKSTOP,WDD1,2041,0.1
Region,BACKSTOP,WDD1,2042,0.1
Region,BACKSTOP,WDD1,2043,0.1
Region,BACKSTOP,WDD1,2044,0.1
Region,BACKSTOP,WDD1,2045,0.1
Region,BACKSTOP,WDD1,2046,0.1
Region,BACKSTOP,WDD1,2047,0.1
Region,BACKSTOP,WDD1,2048,0.1
Region,BACKSTOP,WDD1,2049,0.1
Region,BACKSTOP,WDD1,2050,0.1
Region,BACKSTOP,WDD1,2051,0.1
Region,BACKSTOP,WDD1,2052,0.1
Region,BACKSTOP,WDD1,2053,0.1
Region,BACKSTOP,WDD1,2054,0.1
Region,BACKSTOP,WDD1,2055,0.1
Region,BACKSTOP,WDD1,2056,0.1
Region,BACKSTOP,WDD1,2057,0.1
Region,BACKSTOP,WDD1,2058,0.1
Region,BACKSTOP,WDD1,2059,0.1
Region,BACKSTOP,WDD1,2060,0.1
Region,BACKSTOP,WDD1,2061,0.1
Region,BACKSTOP,WDD1,2062,0.1
Region,BACKSTOP,WDD1,2063,0.1
Region,BACKSTOP,WDD1,2064,0.1
Region,BACKSTOP,WDD1,2065,0.1
Region,BACKSTOP,WDD2,2015,0.1
Region,BACKSTOP,WDD2,2016,0.1
Region,BACKSTOP,WDD2,2017,0.1
Region,BACKSTOP,WDD2,2018,0.1
Region,BACKSTOP,WDD2,2019,0.1
Region,BACKSTOP,WDD2,2020,0.1
Region,BACKSTOP,WDD2,2021,0.1
Region,BACKSTOP,WDD2,2022,0.1
Region,BACKSTOP,WDD2,2023,0.1
Region,BACKSTOP,WDD2,2024,0.1
Region,BACKSTOP,WDD2,2025,0.1
Region,BACKSTOP,WDD2,2026,0.1
Region,BACKSTOP,WDD2,2027,0.1
Region,BACKSTOP,WDD2,2028,0.1
Region,BACKSTOP,WDD2,2029,0.1
Region,BACKSTOP,WDD2,2030,0.1
Region,BACKSTOP,WDD2,2031,0.1
Region,BACKSTOP,WDD2,2032,0.1
Region,BACKSTOP,WDD2,2033,0.1
Region,BACKSTOP,WDD2,2034,0.1
Region,BACKSTOP,WDD2,2035,0.1
Region,BACKSTOP,WDD2,2036,0.1
